bookId-chunkNo,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
pg13312-9,0.0208,0.3259,0.108,0.0859,0.0215,0.0248,0.0292,0.0607,0.0544,0,0.0036,0.0019,0.0043,0.0954,-0.1494,0.0371,0.2424,0.2121,0.5455,0.7635,0.5888,0.1811,-0.122,45.629
pg13312-8,0.0228,0.3223,0.1593,0.0885,0.0201,0.0249,0.029,0.0582,0.0574,0.0001,0.0045,0.0012,0.0025,0.093,-0.1606,0.038,0.3333,0.1818,0.4848,0.7601,0.6675,0.1811,-0.122,45.629
pg28885-3,0.0288,0.1224,0.2156,0.072,0.0165,0.027,0.0281,0.0698,0.0353,0.0074,0.0038,0.0109,0.0116,0.12,-0.019,0.0852,0.1026,0.2564,0.641,0.7951,0.4711,0.7743,-0.1751,38.288
pg13312-7,0.0271,0.2717,0.1345,0.0869,0.0202,0.0235,0.026,0.056,0.0525,0.0003,0.0037,0.0008,0.003,0.0868,-0.1254,0.0499,0.303,0.1515,0.5455,0.7245,0.5088,0.1811,-0.122,45.629
pg28885-2,0.0278,0.0651,0.212,0.0818,0.0149,0.0246,0.031,0.0674,0.0342,0.0064,0.007,0.0071,0.0145,0.1189,-0.0535,0.079,0.4103,0.1026,0.4872,0.8042,0.4663,0.7743,-0.1751,38.288
pg13312-6,0.0216,0.3732,0.0655,0.0759,0.0203,0.0306,0.0297,0.0533,0.0494,0,0.0036,0.001,0.0032,0.0876,-0.0897,0.0368,0.0606,0.1515,0.7879,0.6981,0.5945,0.1811,-0.122,45.629
pg28885-1,0.0135,0.0223,0.3152,0.0894,0.0137,0.026,0.0389,0.0693,0.0207,0.0053,0.0061,0.0078,0.0226,0.1274,0.0354,0.0454,0.1538,0.1026,0.7436,0.8015,0.4577,0.7743,-0.1751,38.288
pg13312-5,0.0228,0.3466,0.1058,0.0834,0.0225,0.0277,0.0261,0.0592,0.0517,0,0.003,0.0013,0.0027,0.0896,-0.1149,0.0456,0.2727,0.3939,0.3333,0.727,0.5327,0.1811,-0.122,45.629
pg13312-4,0.0234,0.2697,0.1523,0.0834,0.0256,0.0307,0.0257,0.0542,0.0552,0.0002,0.0027,0.0009,0.0024,0.0837,-0.1444,0.042,0.4545,0.0909,0.4545,0.7587,0.4679,0.1811,-0.122,45.629
pg13312-3,0.0202,0.3457,0.1686,0.0801,0.0249,0.0237,0.0297,0.0637,0.0534,0,0.0036,0.0007,0.0029,0.0977,-0.1238,0.036,0.3333,0.2121,0.4545,0.7182,0.4007,0.1811,-0.122,45.629
pg13312-2,0.0218,0.2627,0.1549,0.0791,0.0229,0.0253,0.0312,0.0611,0.0483,0.0003,0.0043,0.0016,0.0009,0.0985,-0.0617,0.0402,0.1818,0.2424,0.5758,0.7285,0.4135,0.1811,-0.122,45.629
