bookId-chunkNo,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
pg11122-1,0.0337,0.1772,0.0304,0.027,0.0125,0.0214,0.0303,0.0794,0.1077,0.0008,0.0064,0.0119,0.0001,0.1288,-0.3418,0.0065,0.3,0.25,0.45,0.5474,0.0088,0.1326,0.4016,0.9721
pg11122-10,0.0102,0.3399,0.0198,0.0316,0.024,0.0263,0.0479,0.0854,0.0318,0.0009,0.0083,0.0047,0.0016,0.1472,0.144,0.0046,0.15,0.4,0.45,0.5246,0.0088,0.1326,0.4016,0.9721
pg11122-11,0.0078,0.2915,0.0329,0.0457,0.0212,0.0284,0.0421,0.0715,0.0296,0.0006,0.0063,0.0075,0.0008,0.128,0.1909,0.0039,0.0556,0.1667,0.7778,0.5338,0.0088,0.1326,0.4016,0.9721
pg11122-12,0.0093,0.1531,0.0557,0.0307,0.0196,0.0231,0.0459,0.0784,0.0314,0.0004,0.01,0.0059,0.0017,0.1406,0.1296,0.0041,0.1579,0.1579,0.6842,0.5383,0.0088,0.1326,0.4016,0.9721
pg11122-13,0.0079,0.1535,0.0242,0.0312,0.0183,0.0293,0.0431,0.0828,0.0257,0.0015,0.0084,0.0026,0.0008,0.1384,0.316,0.0024,0.1111,0.2222,0.6667,0.4709,0.0088,0.1326,0.4016,0.9721
pg11122-14,0.0108,0.3672,0.1224,0.0428,0.0242,0.0263,0.0405,0.0861,0.0335,0.0002,0.0065,0.0038,0.0011,0.1371,0.1082,0.0067,0.2222,0.2222,0.5556,0.5754,0.0088,0.1326,0.4016,0.9721
pg11122-15,0.0115,0.1833,0.0916,0.0396,0.0237,0.026,0.0398,0.0853,0.0283,0.0004,0.0089,0.0055,0.0031,0.1399,0.1746,0.005,0.1053,0.1053,0.7895,0.5874,0.0088,0.1326,0.4016,0.9721
pg11122-16,0.0168,0.2106,0.1431,0.0295,0.0327,0.0243,0.0427,0.1024,0.0263,0.0025,0.0161,0.0062,0.0046,0.1699,0.1634,0.0034,0.1875,0.125,0.6875,0.7392,0.0088,0.1326,0.4016,0.9721
pg11122-17,0.0207,0.1476,0.135,0.0353,0.0284,0.0231,0.0397,0.1005,0.023,0.0021,0.0117,0.0127,0.0129,0.1667,0.0674,0.0078,0.1667,0.1111,0.7222,0.7202,0.0088,0.1326,0.4016,0.9721
pg11122-18,0.0226,0.1702,0.1113,0.0351,0.0305,0.0239,0.0404,0.0968,0.0218,0.0025,0.0144,0.0083,0.0106,0.1624,0.1359,0.0042,0.1,0.2,0.7,0.7121,0.0088,0.1326,0.4016,0.9721
pg11122-2,0.0072,0.2442,0.0342,0.0372,0.0271,0.0278,0.0473,0.084,0.0239,0.0006,0.0088,0.0025,0.0026,0.1432,0.2105,0.0031,0.2941,0.0588,0.6471,0.4953,0.0088,0.1326,0.4016,0.9721
pg11122-3,0.0076,0.2293,0.0062,0.0377,0.0264,0.0261,0.0472,0.0773,0.0324,0.0008,0.0077,0.0048,0.0008,0.1378,0.1139,0.0035,0.3,0.2,0.5,0.5875,0.0088,0.1326,0.4016,0.9721
pg11122-4,0.0074,0.1509,0.0013,0.0494,0.0248,0.0212,0.0427,0.0784,0.029,0.0004,0.0121,0.0025,0.0012,0.1361,0.144,0.0021,0.1579,0.1579,0.6842,0.5082,0.0088,0.1326,0.4016,0.9721
pg11122-5,0.0072,0.1446,0.0447,0.0403,0.0268,0.0246,0.0447,0.0858,0.0301,0.0004,0.0079,0.0048,0.0014,0.1436,0.112,0.0028,0.2,0.15,0.65,0.502,0.0088,0.1326,0.4016,0.9721
pg11122-6,0.0088,0.4286,0.0417,0.0292,0.0212,0.0295,0.0448,0.0808,0.0305,0.0001,0.0088,0.0022,0.0005,0.1367,0.1981,0.0036,0.1667,0.2778,0.5556,0.4807,0.0088,0.1326,0.4016,0.9721
pg11122-7,0.0067,0.4036,0.018,0.0304,0.0251,0.0317,0.0405,0.0774,0.0309,0.0002,0.007,0.0025,0.0004,0.1276,0.1909,0.0037,0.0526,0.0526,0.8947,0.4537,0.0088,0.1326,0.4016,0.9721
pg11122-8,0.0088,0.2318,0.0221,0.0266,0.0187,0.0273,0.0459,0.0842,0.0306,0.0003,0.0062,0.0033,0.0005,0.1399,0.1862,0.0046,0.1579,0.2105,0.6316,0.4549,0.0088,0.1326,0.4016,0.9721
pg11122-9,0.0085,0.4126,0.0245,0.0392,0.026,0.0256,0.0484,0.0761,0.0304,0.0011,0.0117,0.0036,0.0018,0.1409,0.1656,0.0042,0.1667,0.4444,0.3889,0.5237,0.0088,0.1326,0.4016,0.9721
pg6652-1,0.0132,0.1485,0.0429,0.037,0.0236,0.0276,0.0321,0.0822,0.0207,0.0022,0.0108,0.0104,0.0139,0.1377,0.0092,0.006,0.2222,0.2222,0.5556,0.6358,0.0105,0.4328,0.755,0.8702
pg6652-10,0.0179,0.1601,0.1253,0.0565,0.0297,0.0199,0.0398,0.0952,0.0216,0.0028,0.0177,0.016,0.0126,0.1715,-0.0008,0.008,0.1053,0.1579,0.7368,0.7582,0.0105,0.4328,0.755,0.8702
pg6652-11,0.0149,0.2461,0.0978,0.0352,0.0282,0.0223,0.0382,0.1035,0.0184,0.0077,0.0156,0.0091,0.0097,0.1741,0.0238,0.0048,0.3158,0.1053,0.5789,0.6606,0.0105,0.4328,0.755,0.8702
