word,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
abandonment,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
abate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abatement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abbot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
abbreviate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abbreviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abdomen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abdominal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abduction,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
aberrant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aberration,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
abeyance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abhor,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
abhorrent,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
abide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abject,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ablation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablaze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abolish,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abolition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abominable,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
abomination,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
aboriginal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abort,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abortion,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
abortive,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
abound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abovementioned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abrasion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abroad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abrogate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abruptly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abscess,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
absence,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
absent,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
absentee,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
absenteeism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absinthe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absolute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absolution,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
absorbed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absorbent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absorbing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absorption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abstain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abstention,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abstinence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abstract,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abstraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absurdity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abundance,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
abundant,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
abuse,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
abutment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abysmal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
abyss,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
academic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
academy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accede,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accelerate,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
acceleration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accentuate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accept,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acceptable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acceptance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
access,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accession,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accessory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accident,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
accidental,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
accidentally,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
accolade,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
accommodate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accommodation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accompaniment,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
accompany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accompanying,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accomplice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accomplish,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
accomplished,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
accomplishment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accord,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
accordance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accordion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
account,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
accountability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
accountable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
accountant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
accounting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accounts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
accredited,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
accretion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accrue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accueil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accumulate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accumulation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accurate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
accursed,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
accusation,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
accusative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accused,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
accuser,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
accusing,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
accustomed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ache,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
achieve,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
achievement,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
aching,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acidity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acknowledge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acknowledged,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acknowledgment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acoustic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acoustics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acquaint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acquaintance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acquainted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acquiescence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acquire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acquiring,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
acquisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acquisitions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acreage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acrobat,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
act,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
action,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actionable,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
active,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
actor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
