bookId-chunkNo,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50
pg44386-1,0.0327,0.1396,0.1797,0.0385,0.0138,0.0251,0.027999999999999997,0.0818,0.0568,0.001,0.0144,0.026000000000000002,0.0195,0.1512,-0.0548,0.0021,0.4309,0.4065,0.1626,0.5579999999999999,0.6051,0.13,-0.0688,44.119,0.64475197,0.3435876,0.038975507,0.090809666,0.26383716,-0.22298686,-0.14779029999999999,0.052092165,0.02953927,0.13468619,0.7138145134843821,0.6996850188626899,0.4840557101961671,0.792170964289812,2.45948067871837,1.3135287581566102,1.01558670421215,2.52167765207981,0.8411094080128739,0.935197852364977,0.470907618807968,1.29762540616792,1.9125373117265096,1.13749893444662,1.24513402740779,2.1599894410653304,0.5216362086305271
pg44386-2,0.017,0.1109,0.1344,0.0493,0.0147,0.0255,0.0329,0.0757,0.039,0.0019,0.0134,0.0537,0.0272,0.1777,-0.0488,0.0105,0.6992,0.122,0.1789,0.6562,0.5447,0.13,-0.0688,44.119,0.64475197,0.3435876,0.038975507,0.090809666,0.26383716,-0.22298686,-0.14779029999999999,0.052092165,0.02953927,0.13468619,0.7138145134843821,0.6996850188626899,0.4840557101961671,0.792170964289812,2.45948067871837,1.3135287581566102,1.01558670421215,2.52167765207981,0.8411094080128739,0.935197852364977,0.470907618807968,1.29762540616792,1.9125373117265096,1.13749893444662,1.24513402740779,2.1599894410653304,0.5216362086305271
pg26694-1,0.0219,0.2155,0.1318,0.0438,0.0207,0.0244,0.0357,0.0536,0.0402,0.0023,0.0006,0.0003,0.0093,0.0925,-0.1271,0.0165,0.3636,0.2364,0.4,0.4492,0.46299999999999997,0.2529,-0.2363,-0.0879,1.0053142,-0.07647429,0.15389189,0.24021216,-0.08886245,-0.25304794,0.21890146,0.13140388,0.18673185,-0.08717185,0.6490330471650699,1.33552013997239,0.6532799098529429,0.6613036947447061,2.43128923199148,0.625729128861151,0.901054197051388,2.74279065036088,0.717793830036393,2.0125683333908,0.5416682012791849,0.811694471305455,2.0185574150056897,0.6119745076468729,1.01023361997452,2.27550962136108,0.5133051504924601
pg26694-2,0.0287,0.3403,0.1162,0.0491,0.0223,0.0255,0.028999999999999998,0.0488,0.0455,0.0036,0.0007,0.0003,0.0088,0.0824,-0.1767,0.0271,0.4,0.2545,0.3455,0.4705,0.3583,0.2529,-0.2363,-0.0879,1.0053142,-0.07647429,0.15389189,0.24021216,-0.08886245,-0.25304794,0.21890146,0.13140388,0.18673185,-0.08717185,0.6490330471650699,1.33552013997239,0.6532799098529429,0.6613036947447061,2.43128923199148,0.625729128861151,0.901054197051388,2.74279065036088,0.717793830036393,2.0125683333908,0.5416682012791849,0.811694471305455,2.0185574150056897,0.6119745076468729,1.01023361997452,2.27550962136108,0.5133051504924601
pg26694-3,0.0186,0.2276,0.0467,0.0513,0.0198,0.0211,0.0341,0.0668,0.0387,0.0014,0.0003,0.0009,0.0049,0.1035,-0.0745,0.0058,0.6,0.2364,0.1636,0.3873,0.4543,0.2529,-0.2363,-0.0879,1.0053142,-0.07647429,0.15389189,0.24021216,-0.08886245,-0.25304794,0.21890146,0.13140388,0.18673185,-0.08717185,0.6490330471650699,1.33552013997239,0.6532799098529429,0.6613036947447061,2.43128923199148,0.625729128861151,0.901054197051388,2.74279065036088,0.717793830036393,2.0125683333908,0.5416682012791849,0.811694471305455,2.0185574150056897,0.6119745076468729,1.01023361997452,2.27550962136108,0.5133051504924601
pg47341-6,0.0148,0.1771,0.195,0.0823,0.0182,0.0225,0.0354,0.0678,0.0409,0.0049,0.0003,0.004,0.0179,0.1124,-0.0389,0.0165,0.4237,0.2373,0.33899999999999997,0.7579,0.5478,0.0822,-0.0327,42.553999999999995,1.0927892,-0.4216503,-0.21491376,0.032176672999999996,-0.12824604,-0.20076981,0.21844164,-0.041927066,0.23554328,-0.013689318999999998,1.04147659315359,1.2820268431656698,0.609630494246514,1.14623339094536,2.3208085591325696,1.2050348740214198,0.72196286803115,1.6728263773037202,1.04013104537582,1.20179515324788,0.5794005210436539,1.36122718208578,2.49640232398407,1.2258051467604,0.605597179132693,1.4896414483697,0.73355093229437
pg47341-5,0.0181,0.2025,0.1474,0.0602,0.0124,0.0233,0.0336,0.0635,0.0357,0.005,0.0025,0.0047,0.0189,0.1093,-0.0378,0.0249,0.4576,0.2203,0.322,0.7204,0.4275,0.0822,-0.0327,42.553999999999995,1.0927892,-0.4216503,-0.21491376,0.032176672999999996,-0.12824604,-0.20076981,0.21844164,-0.041927066,0.23554328,-0.013689318999999998,1.04147659315359,1.2820268431656698,0.609630494246514,1.14623339094536,2.3208085591325696,1.2050348740214198,0.72196286803115,1.6728263773037202,1.04013104537582,1.20179515324788,0.5794005210436539,1.36122718208578,2.49640232398407,1.2258051467604,0.605597179132693,1.4896414483697,0.73355093229437
pg47341-4,0.0211,0.1849,0.2696,0.0802,0.0166,0.021,0.0307,0.0628,0.0457,0.003,0.0001,0.0038,0.019,0.1004,-0.0462,0.0251,0.4237,0.3559,0.2203,0.7473,0.5085,0.0822,-0.0327,42.553999999999995,1.0927892,-0.4216503,-0.21491376,0.032176672999999996,-0.12824604,-0.20076981,0.21844164,-0.041927066,0.23554328,-0.013689318999999998,1.04147659315359,1.2820268431656698,0.609630494246514,1.14623339094536,2.3208085591325696,1.2050348740214198,0.72196286803115,1.6728263773037202,1.04013104537582,1.20179515324788,0.5794005210436539,1.36122718208578,2.49640232398407,1.2258051467604,0.605597179132693,1.4896414483697,0.73355093229437
pg47341-3,0.0187,0.3008,0.1402,0.051,0.0125,0.0256,0.0322,0.0603,0.0416,0.0041,0.001,0.0035,0.0184,0.1011,-0.0395,0.0191,0.6949,0.1695,0.1356,0.6956,0.3659,0.0822,-0.0327,42.553999999999995,1.0927892,-0.4216503,-0.21491376,0.032176672999999996,-0.12824604,-0.20076981,0.21844164,-0.041927066,0.23554328,-0.013689318999999998,1.04147659315359,1.2820268431656698,0.609630494246514,1.14623339094536,2.3208085591325696,1.2050348740214198,0.72196286803115,1.6728263773037202,1.04013104537582,1.20179515324788,0.5794005210436539,1.36122718208578,2.49640232398407,1.2258051467604,0.605597179132693,1.4896414483697,0.73355093229437
pg47341-2,0.0171,0.3154,0.0761,0.0586,0.0137,0.0247,0.0296,0.0587,0.0375,0.0032,0.0009,0.0033,0.0269,0.0957,-0.0457,0.0215,0.4915,0.1864,0.322,0.722,0.5483,0.0822,-0.0327,42.553999999999995,1.0927892,-0.4216503,-0.21491376,0.032176672999999996,-0.12824604,-0.20076981,0.21844164,-0.041927066,0.23554328,-0.013689318999999998,1.04147659315359,1.2820268431656698,0.609630494246514,1.14623339094536,2.3208085591325696,1.2050348740214198,0.72196286803115,1.6728263773037202,1.04013104537582,1.20179515324788,0.5794005210436539,1.36122718208578,2.49640232398407,1.2258051467604,0.605597179132693,1.4896414483697,0.73355093229437
