Book_Name;book_id;guten_genre;Author_Name
Alice's Adventures in Wonderland;pg11.epub;Literary;Carroll| Lewis
Through the Looking-Glass;pg12.epub;Literary;Carroll| Lewis
Peter Pan;pg16.epub;Fantasy ;Barrie, J. M. (James Matthew)
The Scarlet Letter;pg33.epub;Romance fiction;Hawthorne, Nathaniel
A Christmas Carol in Prose; Being a Ghost Story of Christmas;pg46.epub;Horror;Dickens, Charles
The Marvelous Land of Oz;pg54.epub;Fantasy ;Baum, L. Frank (Lyman Frank)
The Wonderful Wizard of Oz;pg55.epub;Fantasy ;Baum, L. Frank (Lyman Frank)
Tarzan of the Apes;pg78.epub;Fantasy ;Burroughs, Edgar Rice
The Return of Tarzan;pg81.epub;Fantasy ;Burroughs, Edgar Rice
The Beasts of Tarzan;pg85.epub;Fantasy ;Burroughs, Edgar Rice
A Connecticut Yankee in King Arthur's Court;pg86.epub;Fantasy ;Twain, Mark
The Son of Tarzan;pg90.epub;Fantasy ;Burroughs, Edgar Rice
Tarzan and the Jewels of Opar;pg92.epub;Fantasy ;Burroughs, Edgar Rice
The Monster Men;pg96.epub;Fantasy ;Burroughs, Edgar Rice
A Tale of Two Cities;pg98.epub;Literary;Dickens| Charles
Persuasion;pg105.epub;Literary;Austen| Jane
Jungle Tales of Tarzan;pg106.epub;Fantasy ;Burroughs, Edgar Rice
Return of Sherlock Holmes;pg108.epub;Detective and Mystery;Connan| Doyle
The Return of the Native;pg122.epub;Romance fiction;Hardy, Thomas
At the Earth's Core;pg123.epub;Fantasy ;Burroughs, Edgar Rice
The Lost World;pg139.epub;Fantasy ;Doyle, Arthur Conan
Mansfield Park;pg141.epub;Literary;Austen| Jane
The Lost Continent;pg149.epub;Fantasy ;Burroughs, Edgar Rice
Jude the Obscure;pg153.epub;Romance fiction;Hardy, Thomas
Emma;pg158.epub;Literary;Austen| Jane
The Awakening, and Selected Short Stories;pg160.epub;Romance fiction;Chopin, Kate
Sense and Sensibility;pg161.epub;Literary;Jane Austen
The Well at the World's End: A Tale;pg169.epub;Fantasy ;Morris, William
The Turn of the Screw;pg209.epub;Horror;James, Henry
The Return of Sherlock Holmes;pg221.epub;Detective and mystery ;Doyle, Arthur Conan
Child Christopher and Goldilind the Fair;pg234.epub;Fantasy ;Morris, William
The Jungle Book;pg236.epub;Adventure;Kipling, Rudyard
The Lost Continent;pg285.epub;Fantasy ;Hyne, Charles John Cutcliffe Wright
The Certain Hour (Dizain des Poëtes);pg288.epub;Fantasy ;Cabell, James Branch
The Wind in the Willows;pg289.epub;Fantasy ;Grahame, Kenneth
The Count's Millions;pg305.epub;Detective and Mystery;Gaboriau| Emile
Before Adam;pg310.epub;Fantasy ;London, Jack
Phantastes: A Faerie Romance for Men and Women;pg325.epub;Fantasy ;MacDonald, George
The Mucker;pg331.epub;Adventure;Burroughs, Edgar Rice
The Oakdale Affair;pg363.epub;Adventure;Burroughs, Edgar Rice
The Mad King;pg364.epub;Fantasy ;Burroughs, Edgar Rice
The Magic of Oz;pg419.epub;Fantasy ;Baum, L. Frank (Lyman Frank)
Dorothy and the Wizard in Oz;pg420.epub;Fantasy ;Baum, L. Frank (Lyman Frank)
Tales and Fantasies;pg426.epub;Literary;Stevenson| Robert Louis
The Fortune Hunter;pg431.epub;Detective and mystery ;Phillips, David Graham
The Circular Staircase;pg434.epub;Detective and mystery ;Rinehart, Mary Roberts
The Master Key;pg436.epub;Fantasy ;Baum, L. Frank (Lyman Frank)
The White People;pg459.epub;Horror;Burnett, Frances Hodgson
The Road to Oz;pg485.epub;Fantasy ;Baum, L. Frank (Lyman Frank)
Ozma of Oz;pg486.epub;Fantasy ;Baum, L. Frank (Lyman Frank)
The Story of Doctor Dolittle;pg501.epub;Fantasy ;Lofting, Hugh
Desert Gold;pg502.epub;Western Stories;Grey| Zane
Margret Howth: A Story of To-day;pg515.epub;Literary;Davis| Rebecca Harding
The Emerald City of Oz;pg517.epub;Fantasy ;Baum, L. Frank (Lyman Frank)
A Kidnapped Santa Claus;pg519.epub;Fantasy ;Baum, L. Frank (Lyman Frank)
Youth- a Narrative;pg525.epub;Sea and Adventure;Conrad| Joseph
Tales of Terror and Mystery;pg537.epub;Detective and Mystery;Connan| Doyle
At the Earth's Core;pg545.epub;Fantasy ;Burroughs, Edgar Rice
Baron Trigault's Vengeance;pg547.epub;Detective and Mystery;Gaboriau| Emile
Rewards and Fairies;pg556.epub;Fantasy ;Kipling, Rudyard
Puck of Pook's Hill;pg557.epub;Fantasy ;Kipling, Rudyard
Danny's Own Story;pg587.epub;Humorous and Wit and Satire;Marquis| Don
Pellucidar;pg605.epub;Adventure;Burroughs, Edgar Rice
Sylvie and Bruno;pg620.epub;Literary;Carroll| Lewis
The Haunted Man and the Ghost's Bargain;pg644.epub;Horror;Dickens, Charles
Creatures That Once Were Men;pg681.epub;Literary;Gorky| Maksim
Raffles: Further Adventures of the Amateur Cracksman;pg707.epub;Detective and mystery ;Hornung, E. W. (Ernest William)
The Princess and the Goblin;pg708.epub;Fantasy ;MacDonald, George
The Princess and Curdie;pg709.epub;Fantasy ;MacDonald, George
The Moon Endureth: Tales and Fancies;pg715.epub;Fantasy ;Buchan, John
A Psychological Counter-Current in Recent Fiction;pg726.epub;Literary;Howells| William Dean
Oliver Twist;pg730.epub;Literary;Dickens| Charles
David Copperfield;pg766.epub;Literary;Dickens| Charles
Hard Times;pg786.epub;Literary;Dickens| Charles
Hunted Down: The Detective Stories of Charles Dickens;pg807.epub;Detective and mystery ;Dickens, Charles
Memoirs of Shelock Holmes;pg834.epub;Detective and Mystery;Connan| Doyle
The Story of the Amulet;pg837.epub;Fantasy ;Nesbit, E. (Edith)
New Arabian Nights;pg839.epub;Adventure;Stevenson, Robert Louis
Stage-Land;pg858.epub;wit and humor;Jerome, Jerome K. (Jerome Klapka)
The Mysterious Affair at Styles;pg863.epub;Detective and Mystery;Christie| Agatha
To Be Read at Dusk;pg924.epub;Horror;Dickens, Charles
Alice's Adventures in Wonderland;pg928.epub;Fantasy ;Carroll, Lewis
The Bab Ballads;pg931.epub;wit and humor;Gilbert, W. S. (William Schwenck)
More Bab Ballads;pg933.epub;wit and humor;Gilbert, W. S. (William Schwenck)
The Patchwork Girl of Oz;pg955.epub;Fantasy ;Baum, L. Frank (Lyman Frank)
Tik-Tok of Oz;pg956.epub;Fantasy ;Baum, L. Frank (Lyman Frank)
The Scarecrow of Oz;pg957.epub;Fantasy ;Baum, L. Frank (Lyman Frank)
Rinkitink in Oz;pg958.epub;Fantasy ;Baum, L. Frank (Lyman Frank)
The Lost Princess of Oz;pg959.epub;Fantasy ;Baum, L. Frank (Lyman Frank)
The Tin Woodman of Oz;pg960.epub;Fantasy ;Baum, L. Frank (Lyman Frank)
Glinda of Oz to the Home of the Flatheads;pg961.epub;Fantasy ;Baum, L. Frank (Lyman Frank)
Father Sergius;pg985.epub;Romance fiction;Maude, Louise
The Pupil;pg1032.epub;Literary;James| Henry
The New Machiavelli;pg1047.epub;Romance fiction;Wells, H. G. (Herbert George)
The Voyages of Doctor Dolittle;pg1154.epub;Fantasy ;Lofting, Hugh
The Secret Adversary;pg1155.epub;Detective and Mystery;Christie| Agatha
A Strange Disappearance;pg1167.epub;Detective and mystery ;Green, Anna Katharine
The Jolly Corner;pg1190.epub;Ghost and Horror;James| Henry
The Coxon Fund;pg1193.epub;Literary;James| Henry
Tales of Unrest;pg1202.epub;Adventure;Conrad, Joseph
Kwaidan: Stories and Studies of Strange Things;pg1210.epub;Horror;Hearn, Lafcadio
The Adventures of Jimmie Dale;pg1218.epub;Detective and Mystery;Packard| Frank L.
A Simple Soul;pg1253.epub;Literary;Flaubert| Gustave
The Three Musketeers;pg1257.epub;Adventure;Dumas, Alexandre
The Autobiography of a Slander;pg1273.epub;Literary;Lyall| Edna
Three Ghost Stories;pg1289.epub;Horror;Dickens, Charles
Peter Pan in Kensington Gardens;pg1332.epub;Fantasy ;Barrie, J. M. (James Matthew)
Pride and Prejudice;pg1342.epub;Literary;Austen| Jane
Historical Lectures and Essays;pg1360.epub;History;Kingsley, Charles
The Seven Poor Travellers;pg1392.epub;Christmas Stories;Dickens| Charles
Anna Karenina;pg1399.epub;Romance fiction;Garnett, Constance
Great Expectations;pg1400.epub;Literary;Dickens| Charles
Tarzan the Untamed;pg1401.epub;Fantasy ;Burroughs, Edgar Rice
Where the Blue Begins;pg1402.epub;Fantasy ;Morley, Christopher
Going into Society;pg1422.epub;Literary;Dickens| Charles
Beacon Lights of History, Volume 3 part 1: The Middle Ages;pg1498.epub;History;Lord, John
Beacon Lights of History, Volume 3 part 2: Renaissance and Reformation;pg1499.epub;History;Lord, John
A Passion in the Desert;pg1555.epub;Adventure;Dowson, Ernest Christopher
The Lily of the Valley;pg1569.epub;Romance fiction;Wormeley, Katharine Prescott
The Grey Room;pg1577.epub;Detective and mystery ;Phillpotts, Eden
The Foolish Virgin;pg1634.epub;Literary;Dixon| Thomas
Lilith: A Romance;pg1640.epub;Fantasy ;MacDonald, George
The Adventures of Gerard;pg1644.epub;Adventure;Doyle, Arthur Conan
The Adventures of Sherlock Holmes;pg1661.epub;Detective and mystery ;Doyle, Arthur Conan
The Man Who Was Thursday: A Nightmare;pg1695.epub;Fantasy ;Chesterton, G. K. (Gilbert Keith)
The Vanished Messenger;pg1699.epub;Detective and Mystery;Oppenheim| E. Phillips
The White Moll;pg1741.epub;Detective and mystery ;Packard, Frank L. (Frank Lucius)
The Red Seal;pg1747.epub;Literary;Lincoln| Natalie Sumner
Other People's Money;pg1748.epub;Detective and Mystery;Gaboriau| Emile
