bookId-chunkNo,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50
pg1257-20,0.0288,0.2705,0.065,0.0697,0.0242,0.0236,0.0273,0.0768,0.0368,0.0006,0.0095,0,0.0072,0.1142,-0.0083,0.031,0.3077,0.1923,0.5,0.6756,0.586,0.194,0.1836,0.278319186,-0.002413337,-0.056007472,-0.001845435,-0.038079807,0.01759206,-0.0911214,-0.001632489,-0.093110506,-0.011700799,-0.007380043,0.06226,0.089351976,0.172528841,0.044395723,0.129973245,0.124711092,0.113487935,0.070708692,0.254842496,0.101285134,0.145325036,0.048515816,0.157665073,0.11177426,0.143285484,0.06806058,0.224088617
pg1257-22,0.0264,0.2225,0.1531,0.066,0.0248,0.026,0.0306,0.0803,0.0384,0.0011,0.0084,0,0.0089,0.1204,-0.0297,0.0249,0.3333,0.2963,0.3704,0.6719,0.5725,0.194,0.1836,0.278319186,-0.002413337,-0.056007472,-0.001845435,-0.038079807,0.01759206,-0.0911214,-0.001632489,-0.093110506,-0.011700799,-0.007380043,0.06226,0.089351976,0.172528841,0.044395723,0.129973245,0.124711092,0.113487935,0.070708692,0.254842496,0.101285134,0.145325036,0.048515816,0.157665073,0.11177426,0.143285484,0.06806058,0.224088617
pg1257-21,0.0371,0.1893,0.0449,0.0628,0.0196,0.0208,0.027,0.0757,0.0464,0.0003,0.0106,0,0.0114,0.1136,-0.1117,0.042,0.3462,0.1154,0.5385,0.735,0.474,0.194,0.1836,0.278319186,-0.002413337,-0.056007472,-0.001845435,-0.038079807,0.01759206,-0.0911214,-0.001632489,-0.093110506,-0.011700799,-0.007380043,0.06226,0.089351976,0.172528841,0.044395723,0.129973245,0.124711092,0.113487935,0.070708692,0.254842496,0.101285134,0.145325036,0.048515816,0.157665073,0.11177426,0.143285484,0.06806058,0.224088617
pg1257-24,0.024,0.153,0.194,0.0842,0.0282,0.0188,0.0267,0.0802,0.0353,0.0012,0.0109,0,0.0128,0.119,-0.0375,0.0237,0.3462,0.1154,0.5385,0.6932,0.6192,0.194,0.1836,0.278319186,-0.002413337,-0.056007472,-0.001845435,-0.038079807,0.01759206,-0.0911214,-0.001632489,-0.093110506,-0.011700799,-0.007380043,0.06226,0.089351976,0.172528841,0.044395723,0.129973245,0.124711092,0.113487935,0.070708692,0.254842496,0.101285134,0.145325036,0.048515816,0.157665073,0.11177426,0.143285484,0.06806058,0.224088617
pg1257-23,0.0189,0.2073,0.2255,0.0707,0.0335,0.0242,0.0302,0.0748,0.0367,0.0007,0.0107,0,0.0063,0.1164,0.013,0.0158,0.1852,0.2593,0.5556,0.6544,0.5252,0.194,0.1836,0.278319186,-0.002413337,-0.056007472,-0.001845435,-0.038079807,0.01759206,-0.0911214,-0.001632489,-0.093110506,-0.011700799,-0.007380043,0.06226,0.089351976,0.172528841,0.044395723,0.129973245,0.124711092,0.113487935,0.070708692,0.254842496,0.101285134,0.145325036,0.048515816,0.157665073,0.11177426,0.143285484,0.06806058,0.224088617
pg1257-26,0.0336,0.293,0.1303,0.0693,0.0266,0.023,0.0239,0.0708,0.0419,0.0007,0.0095,0,0.0126,0.1049,-0.0867,0.0271,0.5185,0.037,0.4444,0.7238,0.5323,0.194,0.1836,0.278319186,-0.002413337,-0.056007472,-0.001845435,-0.038079807,0.01759206,-0.0911214,-0.001632489,-0.093110506,-0.011700799,-0.007380043,0.06226,0.089351976,0.172528841,0.044395723,0.129973245,0.124711092,0.113487935,0.070708692,0.254842496,0.101285134,0.145325036,0.048515816,0.157665073,0.11177426,0.143285484,0.06806058,0.224088617
pg1257-25,0.0249,0.1609,0.1123,0.0844,0.0331,0.0228,0.027,0.0732,0.0408,0.0001,0.0113,0,0.0133,0.1116,-0.0578,0.0213,0.16,0.28,0.56,0.7064,0.5221,0.194,0.1836,0.278319186,-0.002413337,-0.056007472,-0.001845435,-0.038079807,0.01759206,-0.0911214,-0.001632489,-0.093110506,-0.011700799,-0.007380043,0.06226,0.089351976,0.172528841,0.044395723,0.129973245,0.124711092,0.113487935,0.070708692,0.254842496,0.101285134,0.145325036,0.048515816,0.157665073,0.11177426,0.143285484,0.06806058,0.224088617
pg1257-28,0.0293,0.2655,0.2124,0.0605,0.028,0.0276,0.0288,0.0744,0.0447,0.0001,0.0096,0,0.0137,0.1129,-0.0977,0.0218,0.1538,0.1538,0.6923,0.6962,0.3468,0.194,0.1836,0.278319186,-0.002413337,-0.056007472,-0.001845435,-0.038079807,0.01759206,-0.0911214,-0.001632489,-0.093110506,-0.011700799,-0.007380043,0.06226,0.089351976,0.172528841,0.044395723,0.129973245,0.124711092,0.113487935,0.070708692,0.254842496,0.101285134,0.145325036,0.048515816,0.157665073,0.11177426,0.143285484,0.06806058,0.224088617
pg1257-27,0.0417,0.126,0.2061,0.0857,0.0254,0.0217,0.0236,0.0659,0.0409,0.0005,0.0137,0,0.0194,0.1037,-0.1378,0.0422,0.0833,0.2083,0.7083,0.734,0.6577,0.194,0.1836,0.278319186,-0.002413337,-0.056007472,-0.001845435,-0.038079807,0.01759206,-0.0911214,-0.001632489,-0.093110506,-0.011700799,-0.007380043,0.06226,0.089351976,0.172528841,0.044395723,0.129973245,0.124711092,0.113487935,0.070708692,0.254842496,0.101285134,0.145325036,0.048515816,0.157665073,0.11177426,0.143285484,0.06806058,0.224088617
pg1257-29,0.0353,0.3197,0.0781,0.0736,0.0331,0.0252,0.0282,0.073,0.0428,0.0004,0.0113,0,0.0081,0.1129,-0.0575,0.0288,0.24,0.28,0.48,0.6394,0.6582,0.194,0.1836,0.278319186,-0.002413337,-0.056007472,-0.001845435,-0.038079807,0.01759206,-0.0911214,-0.001632489,-0.093110506,-0.011700799,-0.007380043,0.06226,0.089351976,0.172528841,0.044395723,0.129973245,0.124711092,0.113487935,0.070708692,0.254842496,0.101285134,0.145325036,0.048515816,0.157665073,0.11177426,0.143285484,0.06806058,0.224088617
