bookId_RowNum,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
pg34628-1,0.0177,0.2115,0.1919,0.0796,0.0263,0.0221,0.0453,0.0599,0.0437,0.0004,0.0117,0.0000,0.0074,0.1173,-0.0411,0.0186,0.2456,0.2655,0.4889,0.7449,0.0169,-0.3272,-1.0000
pg34629-2,0.0103,0.2208,0.1318,0.0695,0.0478,0.0211,0.0362,0.0859,0.0228,0.0053,0.0151,0.0061,0.0064,0.1487,0.1971,0.0092,0.1270,0.1524,0.7206,0.4830,-0.0745,-0.2057,-1.0000
pg42491-3,0.0109,0.2557,0.0555,0.0618,0.0283,0.0240,0.0349,0.0692,0.0271,0.0013,0.0092,0.0078,0.0050,0.1224,0.1440,0.0134,0.2016,0.2509,0.5475,0.5515,-0.0713,0.4978,-1.0000
pg42493-4,0.0118,0.1945,0.0883,0.0661,0.0295,0.0236,0.0360,0.0595,0.0335,0.0010,0.0105,0.0047,0.0052,0.1117,0.0573,0.0149,0.2051,0.2788,0.5161,0.5921,-0.0628,-0.0324,-1.0000
pg22883-5,0.0163,0.2464,0.2170,0.0903,0.0272,0.0231,0.0408,0.0636,0.0412,0.0003,0.0091,0.0043,0.0054,0.1181,0.0060,0.0178,0.2100,0.2023,0.5876,0.7317,-0.0139,-0.2141,-1.0000
pg42492-6,0.0110,0.2281,0.0382,0.0595,0.0260,0.0233,0.0347,0.0636,0.0298,0.0016,0.0112,0.0060,0.0052,0.1171,0.1053,0.0139,0.2170,0.3530,0.4300,0.5383,-0.0565,0.1631,-1.0000
pg29274-7,0.0127,0.3677,0.1600,0.0895,0.0245,0.0269,0.0328,0.0741,0.0422,0.0002,0.0071,0.0028,0.0015,0.1171,0.0153,0.0121,0.2374,0.1507,0.6120,0.7004,-0.0596,-0.1196,-1.0000
pg42010-8,0.0200,0.2856,0.0376,0.0662,0.0134,0.0321,0.0325,0.0398,0.0467,0.0019,0.0020,0.0014,0.0013,0.0775,-0.0210,0.0072,0.3023,0.1586,0.5391,0.6417,0.0360,-1.1229,-1.0000
pg42496-9,0.0169,0.3247,0.1356,0.0767,0.0259,0.0265,0.0383,0.0569,0.0448,0.0007,0.0018,0.0000,0.0060,0.0977,-0.0477,0.0142,0.2659,0.1975,0.5367,0.7381,-0.0735,-0.0565,-1.0000
pg42499-10,0.0180,0.3101,0.0988,0.0840,0.0219,0.0269,0.0393,0.0526,0.0470,0.0003,0.0010,0.0000,0.0067,0.0932,-0.0589,0.0132,0.2009,0.1629,0.6362,0.7717,-0.0905,-0.3436,-1.0000
