character_name,book_id,uid,character_first_name,character_second_name,character_third_name,,,,,,,,
marooners,16,16,marooners,,,,,,,,,,
piccaninny,16,46,piccaninny,,,,,,,,,,
james hook,16,55,james,hook,,,,,,,,,
wendy moira angela,16,81,wendy,moira,angela,,,,,,,,
o wendy,16,85,o,wendy,,,,,,,,,
tootles,16,158,tootles,,,,,,,,,,
slightly,16,363,slightly,,,,,,,,,,
bill jukes,16,364,bill,jukes,,,,,,,,,
johnny plank,16,419,johnny,plank,,,,,,,,,
smee,16,837,smee,,,,,,,,,,
ed teynte,16,968,ed,teynte,,,,,,,,,
scourie,16,1498,scourie,,,,,,,,,,
starkey,16,1499,starkey,,,,,,,,,,
blackbeard joe,16,1661,blackbeard,joe,,,,,,,,,
liza,16,2073,liza,,,,,,,,,,
cookson,16,2325,cookson,,,,,,,,,,
george darling,16,2456,george,darling,,,,,,,,,
long tom,16,3175,long,tom,,,,,,,,,
johnny corkscrew,16,4356,johnny,corkscrew,,,,,,,,,
chas,16,7100,chas,,,,,,,,,,
michael,16,7101,michael,,,,,,,,,,
alf mason,16,7193,alf,mason,,,,,,,,,
turley,16,7194,turley,,,,,,,,,,
lean wolf,16,9593,lean,wolf,,,,,,,,,
tinker bell,16,10531,tinker,bell,,,,,,,,,
curly,16,10641,curly,,,,,,,,,,
nana,16,10647,nana,,,,,,,,,,
luff,16,13647,luff,,,,,,,,,,
wendy moira angela darling,16,16259,wendy,moira,angela,darling,,,,,,,
tiger lily,16,17320,tiger,lily,,,,,,,,,
jonah,16,18276,jonah,,,,,,,,,,
belinda cratchit,46,22367,belinda,cratchit,,,,,,,,,
holly,46,25129,holly,,,,,,,,,,
tut,46,26999,tut,,,,,,,,,,
paul,46,27324,paul,,,,,,,,,,
dick wilkins,46,27325,dick,wilkins,,,,,,,,,
caroline,46,27603,caroline,,,,,,,,,,
dilber,46,28885,dilber,,,,,,,,,,
joe miller,46,31112,joe,miller,,,,,,,,,
poor bob,46,35027,poor,bob,,,,,,,,,
uncle scrooge,46,38586,uncle,scrooge,,,,,,,,,
robin crusoe,46,39160,robin,crusoe,,,,,,,,,
abrahams,46,39968,abrahams,,,,,,,,,,
bob cratchit marley,46,44904,bob,cratchit,marley,,,,,,,,
ali baba,46,45748,ali,baba,,,,,,,,,
ding,46,46120,ding,,,,,,,,,,
fezziwig,46,,fezziwig,,,,,,,,,,
belle,46,,belle,,,,,,,,,,
dunstan,46,,dunstan,,,,,,,,,,
bob took tiny tim,46,,bob,took,tiny,tim,,,,,,,
cratchits,46,,cratchits,,,,,,,,,,
ebenezer scrooge,46,,ebenezer,scrooge,,,,,,,,,
fred,46,,fred,,,,,,,,,,
laocoön,46,,laocoön,,,,,,,,,,
abels,46,,abels,,,,,,,,,,
tiny tim,46,,tiny,tim,,,,,,,,,
peter cratchit,46,,peter,cratchit,,,,,,,,,
valentine,46,,valentine,,,,,,,,,,
roger coverley,46,,roger,coverley,,,,,,,,,
jacob marley,46,,jacob,marley,,,,,,,,,
bob cratchit,46,,bob,cratchit,,,,,,,,,
scrooge scrooge,46,,scrooge,scrooge,,,,,,,,,
tin woodman,55,,tin,woodman,,,,,,,,,
glinda,55,,glinda,,,,,,,,,,
henry,55,,henry,,,,,,,,,,
winkies,55,,winkies,,,,,,,,,,
joker,55,,joker,,,,,,,,,,
toto,55,,toto,,,,,,,,,,
oz,55,,oz,,,,,,,,,,
andersen,55,,andersen,,,,,,,,,,
gayelette,55,,gayelette,,,,,,,,,,
dorothy,55,,dorothy,,,,,,,,,,
golden cap,55,,golden,cap,,,,,,,,,
i am the guardian of the gates,55,,i,am,the,guardian,of,the,gates,,,,
witch of the north,55,,witch,of,the,north,,,,,,,
scarecrow,55,,scarecrow,,,,,,,,,,
quelala,55,,quelala,,,,,,,,,,
grimm,55,,grimm,,,,,,,,,,
boq,55,,boq,,,,,,,,,,
kalidahs,55,,kalidahs,,,,,,,,,,
sabor,81,,sabor,,,,,,,,,,
karnath,81,,karnath,,,,,,,,,,
samuel t  philander,81,,samuel,t,,philander,,,,,,,
tompkins,81,,tompkins,,,,,,,,,,
sheeta,81,,sheeta,,,,,,,,,,
erebus,81,,erebus,,,,,,,,,,
brently,81,,brently,,,,,,,,,,
mbonga,81,,mbonga,,,,,,,,,,
hazel strong,81,,hazel,strong,,,,,,,,,
opar,81,,opar,,,,,,,,,,
black kulonga,81,,black,kulonga,,,,,,,,,
manu,81,,manu,,,,,,,,,,
pullman,81,,pullman,,,,,,,,,,
kadour ben saden,81,,kadour,ben,saden,,,,,,,,
hazel strong jane porter,81,,hazel,strong,jane,porter,,,,,,,
rochere,81,,rochere,,,,,,,,,,
sisi aissa,81,,sisi,aissa,,,,,,,,,
jacques,81,,jacques,,,,,,,,,,
havre,81,,havre,,,,,,,,,,
gernois,81,,gernois,,,,,,,,,,
flaubert,81,,flaubert,,,,,,,,,,
chowambi,81,,chowambi,,,,,,,,,,
thompkins,81,,thompkins,,,,,,,,,,
kerchak,81,,kerchak,,,,,,,,,,
olga nikolas,81,,olga,nikolas,,,,,,,,,
baltimore clayton,81,,baltimore,clayton,,,,,,,,,
bou saada,81,,bou,saada,,,,,,,,,
archimedes q  porter,81,,archimedes,q,,porter,,,,,,,
magor,81,,magor,,,,,,,,,,
le count coude,81,,le,count,coude,,,,,,,,
jerrold,81,,jerrold,,,,,,,,,,
olga coude,81,,olga,coude,,,,,,,,,
sidi aissa,81,,sidi,aissa,,,,,,,,,
ali ben ahmed,81,,ali,ben,ahmed,,,,,,,,
sidi aissa tarzan,81,,sidi,aissa,tarzan,,,,,,,,
gerard,81,,gerard,,,,,,,,,,
thuran,81,,thuran,,,,,,,,,,
arab,81,,arab,,,,,,,,,,
dufranne,81,,dufranne,,,,,,,,,,
parisienne,81,,parisienne,,,,,,,,,,
jane porter,81,,jane,porter,,,,,,,,,
bolgani,81,,bolgani,,,,,,,,,,
william cecil clayton,81,,william,cecil,clayton,,,,,,,,
numa el adrea,81,,numa,el,adrea,,,,,,,,
alice,81,,alice,,,,,,,,,,
ouled nail,81,,ouled,nail,,,,,,,,,
raoul coude,81,,raoul,coude,,,,,,,,,
terkoz,81,,terkoz,,,,,,,,,,
joubon,81,,joubon,,,,,,,,,,
john caldwell,81,,john,caldwell,,,,,,,,,
tennington,81,,tennington,,,,,,,,,,
sheik kabour ben saden,81,,sheik,kabour,ben,saden,,,,,,,
adrea tarzan,81,,adrea,tarzan,,,,,,,,,
esmeralda,81,,esmeralda,,,,,,,,,,
countess coude,81,,countess,coude,,,,,,,,,
tantor,81,,tantor,,,,,,,,,,
jean c  tarzan,81,,jean,c,,tarzan,,,,,,,
wilson,81,,wilson,,,,,,,,,,
busuli,81,,busuli,,,,,,,,,,
tenny,81,,tenny,,,,,,,,,,
jean tarzan,81,,jean,tarzan,,,,,,,,,
faugh,81,,faugh,,,,,,,,,,
kala,81,,kala,,,,,,,,,,
histah,81,,histah,,,,,,,,,,
francois,81,,francois,,,,,,,,,,
horta,81,,horta,,,,,,,,,,
sheik kadour ben saden,81,,sheik,kadour,ben,saden,,,,,,,
jove,81,,jove,,,,,,,,,,
snipes,81,,snipes,,,,,,,,,,
tublat,81,,tublat,,,,,,,,,,
rue maule,81,,rue,maule,,,,,,,,,
manyuema,81,,manyuema,,,,,,,,,,
abdul,81,,abdul,,,,,,,,,,
kincaid,85,,kincaid,,,,,,,,,,
jack,85,,jack,,,,,,,,,,
nikolas rokoff,85,,nikolas,rokoff,,,,,,,,,
paul d arnot,85,,paul,d,arnot,,,,,,,,
jane clayton,85,,jane,clayton,,,,,,,,,
sven anderssen,85,,sven,anderssen,,,,,,,,,
tarzan,85,,tarzan,,,,,,,,,,
john clayton,85,,john,clayton,,,,,,,,,
jane porter clayton,85,,jane,porter,clayton,,,,,,,,
waziri,85,,waziri,,,,,,,,,,
d arnot,85,,d,arnot,,,,,,,,,
carl,85,,carl,,,,,,,,,,
greystoke,85,,greystoke,,,,,,,,,,
paulvitch,85,,paulvitch,,,,,,,,,,
alexis paulvitch,85,,alexis,paulvitch,,,,,,,,,
john ostler,158,,john,ostler,,,,,,,,,
alderneys,158,,alderneys,,,,,,,,,,
robin adair,158,,robin,adair,,,,,,,,,
hodges,158,,hodges,,,,,,,,,,
anne,158,,anne,,,,,,,,,,
clifton,158,,clifton,,,,,,,,,,
suckling,158,,suckling,,,,,,,,,,
bateses,158,,bateses,,,,,,,,,,
